,Column1,Column2,Column3,Column4,Column42,Column43,Column8,FIXED PLSS ID,Column9,Column5,Column6,Column7
63,0080S0,070E0,SN22,W2,W2,AW½,0080S0070E0SN22AW½,0080S0070E0SN22ASWSW,,480.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
64,0080S0,070E0,SN22,W2,W2,AW½,0080S0070E0SN22AW½,0080S0070E0SN22ASESW,,480.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
65,0080S0,070E0,SN22,W2,W2,AW½,0080S0070E0SN22AW½,0080S0070E0SN22ANWNW,,480.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
66,0080S0,070E0,SN22,W2,W2,AW½,0080S0070E0SN22AW½,0080S0070E0SN22ANENW,,480.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
67,0080S0,070E0,SN22,W2,W2,AW½,0080S0070E0SN22AW½,0080S0070E0SN22ASWNW,,480.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
68,0080S0,070E0,SN22,W2,W2,AW½,0080S0070E0SN22AW½,0080S0070E0SN22ASENW,,480.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
69,0080S0,070E0,SN27,SE4                                                         ,SE4,ASE,0080S0070E0SN27ASE,0080S0070E0SN27ANWSE,,160.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
70,0080S0,070E0,SN27,SE4                                                         ,SE4,ASE,0080S0070E0SN27ASE,0080S0070E0SN27ANESE,,160.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
71,0080S0,070E0,SN27,SE4                                                         ,SE4,ASE,0080S0070E0SN27ASE,0080S0070E0SN27ASWSE,,160.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
72,0080S0,070E0,SN27,SE4                                                         ,SE4,ASE,0080S0070E0SN27ASE,0080S0070E0SN27ASESE,,160.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
73,0080S0,070E0,SN28,W2,W2,AW½,0080S0070E0SN28AW½,0080S0070E0SN28ANWSW,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
74,0080S0,070E0,SN28,W2,W2,AW½,0080S0070E0SN28AW½,0080S0070E0SN28ANESW,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
75,0080S0,070E0,SN28,W2,W2,AW½,0080S0070E0SN28AW½,0080S0070E0SN28ASWSW,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
76,0080S0,070E0,SN28,W2,W2,AW½,0080S0070E0SN28AW½,0080S0070E0SN28ASESW,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
77,0080S0,070E0,SN28,W2,W2,AW½,0080S0070E0SN28AW½,0080S0070E0SN28ANWNW,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
78,0080S0,070E0,SN28,W2,W2,AW½,0080S0070E0SN28AW½,0080S0070E0SN28ANENW,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
79,0080S0,070E0,SN28,W2,W2,AW½,0080S0070E0SN28AW½,0080S0070E0SN28ASWNW,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
80,0080S0,070E0,SN28,W2,W2,AW½,0080S0070E0SN28AW½,0080S0070E0SN28ASENW,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
81,0080S0,070E0,SN29,E2,E2,AE½,0080S0070E0SN29AE½,0080S0070E0SN29ANWSE,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
82,0080S0,070E0,SN29,E2,E2,AE½,0080S0070E0SN29AE½,0080S0070E0SN29ANESE,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
83,0080S0,070E0,SN29,E2,E2,AE½,0080S0070E0SN29AE½,0080S0070E0SN29ASWSE,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
84,0080S0,070E0,SN29,E2,E2,AE½,0080S0070E0SN29AE½,0080S0070E0SN29ASESE,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
85,0080S0,070E0,SN29,E2,E2,AE½,0080S0070E0SN29AE½,0080S0070E0SN29ANWNE,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
86,0080S0,070E0,SN29,E2,E2,AE½,0080S0070E0SN29AE½,0080S0070E0SN29ANENE,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
87,0080S0,070E0,SN29,E2,E2,AE½,0080S0070E0SN29AE½,0080S0070E0SN29ASWNE,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
88,0080S0,070E0,SN29,E2,E2,AE½,0080S0070E0SN29AE½,0080S0070E0SN29ASENE,,320.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
89,0080S0,070E0,SN30,NE4,NE4,ANE,0080S0070E0SN30ANE,0080S0070E0SN30ANWNE,,160.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
90,0080S0,070E0,SN30,NE4,NE4,ANE,0080S0070E0SN30ANE,0080S0070E0SN30ANENE,,160.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
91,0080S0,070E0,SN30,NE4,NE4,ANE,0080S0070E0SN30ANE,0080S0070E0SN30ASWNE,,160.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
92,0080S0,070E0,SN30,NE4,NE4,ANE,0080S0070E0SN30ANE,0080S0070E0SN30ASENE,,160.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
93,0080S0,070E0,SN30,NE4NW,NE4NW,ANENW,0080S0070E0SN30ANENW,0080S0070E0SN30ANENW,0080S0070E0SN30ANENW,160.21,Fall River,SOUTH DAKOTA STATE UNIVERSITY
94,0080S0,070E0,SN30, SE4NW,SE4NW,ASENW,0080S0070E0SN30ASENW,0080S0070E0SN30ASENW,0080S0070E0SN30ASENW,160.21,Fall River,SOUTH DAKOTA STATE UNIVERSITY
95,0080S0,07E,SN20,S2SE,S2SE,AS½SE,0080S007ESN20AS½SE,0080S007ESN20ASWSE,,80.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
96,0080S0,07E,SN20,S2SE,S2SE,AS½SE,0080S007ESN20AS½SE,0080S007ESN20ASESE,,80.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
97,0100S0,050E0,SN15,SW4,SW4,ASW,0100S0050E0SN15ASW,0100S0050E0SN15ANWSW,,160.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
98,0100S0,050E0,SN15,SW4,SW4,ASW,0100S0050E0SN15ASW,0100S0050E0SN15ANESW,,160.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
99,0100S0,050E0,SN15,SW4,SW4,ASW,0100S0050E0SN15ASW,0100S0050E0SN15ASWSW,,160.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
100,0100S0,050E0,SN15,SW4,SW4,ASW,0100S0050E0SN15ASW,0100S0050E0SN15ASESW,,160.0,Fall River,SOUTH DAKOTA STATE UNIVERSITY
101,0080S0,070E0,SN30,2,2,L2,0080S0070E0SN30L2,0080S0070E0SN30L2,0080S0070E0SN30L2,160.21,Fall River,SOUTH DAKOTA STATE UNIVERSITY
102,0080S0,070E0,SN30, LOTS 1,LOTS 1,L1,0080S0070E0SN30L1,0080S0070E0SN30L1,0080S0070E0SN30L1,160.21,Fall River,SOUTH DAKOTA STATE UNIVERSITY
103,1110N0,690W0,SN19,2,2,L2,1110N0690W0SN19L2,1110N0690W0SN19L2,1110N0690W0SN19L2,394.46,Hand,SOUTH DAKOTA STATE UNIVERSITY
104,1090N0,690W0,SN05,2,2,L2,1090N0690W0SN05L2,1090N0690W0SN05L2,1090N0690W0SN05L2,160.28,Hand,SOUTH DAKOTA STATE UNIVERSITY
105,1110N0,690W0,SN19,3,3,L3,1110N0690W0SN19L3,1110N0690W0SN19L3,1110N0690W0SN19L3,394.46,Hand,SOUTH DAKOTA STATE UNIVERSITY
106,1110N0,690W0,SN19,4,4,L4,1110N0690W0SN19L4,1110N0690W0SN19L4,1110N0690W0SN19L4,394.46,Hand,SOUTH DAKOTA STATE UNIVERSITY
107,1090N0,690W0,SN04,4,4,L4,1090N0690W0SN04L4,1090N0690W0SN04L4,1090N0690W0SN04L4,160.37,Hand,SOUTH DAKOTA STATE UNIVERSITY
108,1140N0,700W0,SN06,4,4,L4,1140N0700W0SN06L4,1140N0700W0SN06L4,1140N0700W0SN06L4,136.1,Hand,SOUTH DAKOTA STATE UNIVERSITY
109,1140N0,700W0,SN06,5,5,L5,1140N0700W0SN06L5,1140N0700W0SN06L5,1140N0700W0SN06L5,136.1,Hand,SOUTH DAKOTA STATE UNIVERSITY
110,1110N0,690W0,SN19, LOTS 1,LOTS 1,L1,1110N0690W0SN19L1,1110N0690W0SN19L1,1110N0690W0SN19L1,394.46,Hand,SOUTH DAKOTA STATE UNIVERSITY
111,1090N0,690W0,SN05,LOTS 1,LOTS 1,L1,1090N0690W0SN05L1,1090N0690W0SN05L1,1090N0690W0SN05L1,160.28,Hand,SOUTH DAKOTA STATE UNIVERSITY
112,1090N0,690W0,SN04,LOTS 3,LOTS 3,L3,1090N0690W0SN04L3,1090N0690W0SN04L3,1090N0690W0SN04L3,160.37,Hand,SOUTH DAKOTA STATE UNIVERSITY
113,1140N0,700W0,SN06,LOTS 3,LOTS 3,L3,1140N0700W0SN06L3,1140N0700W0SN06L3,1140N0700W0SN06L3,136.1,Hand,SOUTH DAKOTA STATE UNIVERSITY
114,1090N0,690W0,SN04, S2NW,S2NW,AS½NW,1090N0690W0SN04AS½NW,1090N0690W0SN04ASWNW,,160.37,Hand,SOUTH DAKOTA STATE UNIVERSITY
115,1090N0,690W0,SN04, S2NW,S2NW,AS½NW,1090N0690W0SN04AS½NW,1090N0690W0SN04ASENW,,160.37,Hand,SOUTH DAKOTA STATE UNIVERSITY
116,1090N0,690W0,SN05, S2NE,S2NE,AS½NE,1090N0690W0SN05AS½NE,1090N0690W0SN05ASWNE,,160.28,Hand,SOUTH DAKOTA STATE UNIVERSITY
