HoldingDetailID,LocationID,TrustFundID,HoldingDetailTypeID,CountyID,SpecificLocation,LegalDescriptionOLD,,,Interest,Acres,BeginDate,EndDate,SoldDate,Acquisition,TitleOpinion,HistoricalLeaseNumber,UserCreated,DateCreated,UserModified,DateModified,Description,OtherAgencyID,TopLeaseAcres,ApprovedforProd,GISGlobalId,Section,Township,TownshipDirection,Range,RangeDirection,Meridian,STRM,QuarterDescription,STRMQ,Legal_Description,SEARCH_ID
D550F19D-9E4C-E311-9FDA-00155D28EA07,,5,1,13,,NE/4 SEC 23-6N-6ECM,NE/4 ,NE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,03:09.6,Dwelch,23:24.8,,,0,,,23,6,N,6,E,11,2306N06ECM,NE,2306N06ECM NE,SWNE,116N6E23SWNE
D550F19D-9E4C-E311-9FDA-00155D28EA07,,5,1,13,,NE/4 SEC 23-6N-6ECM,NE/4 ,NE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,03:09.6,Dwelch,23:24.8,,,0,,,23,6,N,6,E,11,2306N06ECM,NE,2306N06ECM NE,SENE,116N6E23SENE
38E773CB-9E4C-E311-9FDA-00155D28EA07,,5,1,13,,SE/4 SEC 23-6N-6ECM,SE/4 ,SE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,04:26.0,Dwelch,23:45.7,,,0,,,23,6,N,6,E,11,2306N06ECM,SE,2306N06ECM SE,NWSE,116N6E23NWSE
38E773CB-9E4C-E311-9FDA-00155D28EA07,,5,1,13,,SE/4 SEC 23-6N-6ECM,SE/4 ,SE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,04:26.0,Dwelch,23:45.7,,,0,,,23,6,N,6,E,11,2306N06ECM,SE,2306N06ECM SE,NESE,116N6E23NESE
38E773CB-9E4C-E311-9FDA-00155D28EA07,,5,1,13,,SE/4 SEC 23-6N-6ECM,SE/4 ,SE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,04:26.0,Dwelch,23:45.7,,,0,,,23,6,N,6,E,11,2306N06ECM,SE,2306N06ECM SE,SWSE,116N6E23SWSE
38E773CB-9E4C-E311-9FDA-00155D28EA07,,5,1,13,,SE/4 SEC 23-6N-6ECM,SE/4 ,SE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,04:26.0,Dwelch,23:45.7,,,0,,,23,6,N,6,E,11,2306N06ECM,SE,2306N06ECM SE,SESE,116N6E23SESE
8435DE1A-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,NW/4 SEC 24-6N-6ECM,NW/4 ,NW/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,06:39.2,Dwelch,26:18.6,,,0,,,24,6,N,6,E,11,2406N06ECM,NW,2406N06ECM NW,NWNW,116N6E24NWNW
8435DE1A-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,NW/4 SEC 24-6N-6ECM,NW/4 ,NW/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,06:39.2,Dwelch,26:18.6,,,0,,,24,6,N,6,E,11,2406N06ECM,NW,2406N06ECM NW,NENW,116N6E24NENW
8435DE1A-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,NW/4 SEC 24-6N-6ECM,NW/4 ,NW/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,06:39.2,Dwelch,26:18.6,,,0,,,24,6,N,6,E,11,2406N06ECM,NW,2406N06ECM NW,SWNW,116N6E24SWNW
8435DE1A-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,NW/4 SEC 24-6N-6ECM,NW/4 ,NW/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,06:39.2,Dwelch,26:18.6,,,0,,,24,6,N,6,E,11,2406N06ECM,NW,2406N06ECM NW,SENW,116N6E24SENW
F8FAB23C-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,SW/4 SEC 24-6N-6ECM,SW/4 ,SW/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,07:36.0,Dwelch,26:37.6,,,0,,,24,6,N,6,E,11,2406N06ECM,SW,2406N06ECM SW,NWSW,116N6E24NWSW
F8FAB23C-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,SW/4 SEC 24-6N-6ECM,SW/4 ,SW/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,07:36.0,Dwelch,26:37.6,,,0,,,24,6,N,6,E,11,2406N06ECM,SW,2406N06ECM SW,NESW,116N6E24NESW
F8FAB23C-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,SW/4 SEC 24-6N-6ECM,SW/4 ,SW/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,07:36.0,Dwelch,26:37.6,,,0,,,24,6,N,6,E,11,2406N06ECM,SW,2406N06ECM SW,SWSW,116N6E24SWSW
F8FAB23C-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,SW/4 SEC 24-6N-6ECM,SW/4 ,SW/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,07:36.0,Dwelch,26:37.6,,,0,,,24,6,N,6,E,11,2406N06ECM,SW,2406N06ECM SW,SESW,116N6E24SESW
5AE45F60-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,NE/4 SEC 24-6N-6ECM,NE/4 ,NE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,08:35.9,Dwelch,26:58.1,,,0,,,24,6,N,6,E,11,2406N06ECM,NE,2406N06ECM NE,NWNE,116N6E24NWNE
5AE45F60-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,NE/4 SEC 24-6N-6ECM,NE/4 ,NE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,08:35.9,Dwelch,26:58.1,,,0,,,24,6,N,6,E,11,2406N06ECM,NE,2406N06ECM NE,NENE,116N6E24NENE
5AE45F60-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,NE/4 SEC 24-6N-6ECM,NE/4 ,NE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,08:35.9,Dwelch,26:58.1,,,0,,,24,6,N,6,E,11,2406N06ECM,NE,2406N06ECM NE,SWNE,116N6E24SWNE
5AE45F60-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,NE/4 SEC 24-6N-6ECM,NE/4 ,NE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,08:35.9,Dwelch,26:58.1,,,0,,,24,6,N,6,E,11,2406N06ECM,NE,2406N06ECM NE,SENE,116N6E24SENE
EE2D5185-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,SE/4 SEC 24-6N-6ECM,SE/4 ,SE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,09:37.8,Dwelch,27:16.2,,,0,,,24,6,N,6,E,11,2406N06ECM,SE,2406N06ECM SE,NWSE,116N6E24NWSE
EE2D5185-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,SE/4 SEC 24-6N-6ECM,SE/4 ,SE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,09:37.8,Dwelch,27:16.2,,,0,,,24,6,N,6,E,11,2406N06ECM,SE,2406N06ECM SE,NESE,116N6E24NESE
EE2D5185-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,SE/4 SEC 24-6N-6ECM,SE/4 ,SE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,09:37.8,Dwelch,27:16.2,,,0,,,24,6,N,6,E,11,2406N06ECM,SE,2406N06ECM SE,SWSE,116N6E24SWSE
EE2D5185-9F4C-E311-9FDA-00155D28EA07,,5,1,13,,SE/4 SEC 24-6N-6ECM,SE/4 ,SE/4 ,0,0,00:00.0,00:00.0,,,,511396,JPope,09:37.8,Dwelch,27:16.2,,,0,,,24,6,N,6,E,11,2406N06ECM,SE,2406N06ECM SE,SESE,116N6E24SESE
10A06279-8A2C-E411-B3E2-00155D28EA07,,5,1,13,NW,LT 2 SEC 4-2N-1ECM,LT 2,L2,0,40.43,00:00.0,,,,,511041,LLocke,02:37.0,Dwelch,47:25.7,"From Wheeless,  5 miles West and 4 1/2 miles South to NW corner of lease",,0,,,4,2,N,1,E,11,0402N01ECM,NE,0402N01ECM NE,2,112N1E4L2
C00C939B-8A2C-E411-B3E2-00155D28EA07,,5,1,13,NE,LT 3 SEC 4-2N-1ECM,LT 3,L3,0,40.45,00:00.0,,,,,511041,LLocke,03:34.3,Dwelch,47:41.0,"From Wheeless,  5 miles West and 4 1/2 miles South to NW corner of lease",,0,,,4,2,N,1,E,11,0402N01ECM,NW,0402N01ECM NW,3,112N1E4L3
8D1A4FB7-8A2C-E411-B3E2-00155D28EA07,,5,1,13,NW,LT 4 SEC 4-2N-1ECM,LT 4,L4,0,40.47,00:00.0,,,,,511041,LLocke,04:20.9,Dwelch,39:32.1,"From Wheeless,  5 miles West and 4 1/2 miles South to NW corner of lease",,0,,,4,2,N,1,E,11,0402N01ECM,NW,0402N01ECM NW,4,112N1E4L4
14487267-8B2C-E411-B3E2-00155D28EA07,,5,1,13,NE,LT 2 SEC 5-2N-1ECM,LT 2,L2,0,40.42,00:00.0,,,,,511041,LLocke,09:16.3,Dwelch,07:43.3,"From Wheeless,  5 miles West and 4 1/2 miles South to NW corner of lease",,0,,,5,2,N,1,E,11,0502N01ECM,NE,0502N01ECM NE,2,112N1E5L2
CC234731-8C2C-E411-B3E2-00155D28EA07,,5,1,13,NE,LT 3 SEC 5-2N-1ECM,LT 3,L3,0,40.38,00:00.0,,,,,511041,LLocke,14:55.0,Dwelch,07:13.7,"From Wheeless,  5 miles West and 4 1/2 miles South to NW corner of lease",,0,,,5,2,N,1,E,11,0502N01ECM,NW,0502N01ECM NW,3,112N1E5L3
7A38074E-8C2C-E411-B3E2-00155D28EA07,,5,1,13,NW,LT 4 SEC 5-2N-1ECM,LT 4,L4,0,40.34,00:00.0,,,,,511041,LLocke,15:43.2,Dwelch,01:11.6,"From Wheeless,  5 miles West and 4 1/2 miles South to NW corner of lease",,0,,,5,2,N,1,E,11,0502N01ECM,NW,0502N01ECM NW,4,112N1E5L4
EEBE28F8-2F2D-E411-B3E2-00155D28EA07,,5,1,13,SNW,LT 4 SEC 9-6N-3ECM,LT 4,L4,0,21.24,00:00.0,,,,,511138,LLocke,47:16.3,Dwelch,14:39.8,From the Colorado line North of the dinosaur bone 3 miles East,,0,,,9,6,N,3,E,11,0906N03ECM,SW,0906N03ECM SW,4,116N3E9L4
8CED9612-302D-E411-B3E2-00155D28EA07,,5,1,13,SNE,LT 1 SEC 9-6N-3ECM,LT 1,L1,0,22.56,00:00.0,,,,,511138,LLocke,48:00.7,Dwelch,15:11.5,From the Colorado line North of the dinosaur bone 3 miles East,,0,,,9,6,N,3,E,11,0906N03ECM,SE,0906N03ECM SE,1,116N3E9L1
D9D84E30-302D-E411-B3E2-00155D28EA07,,5,1,13,SNW,LT 2 SEC 9-6N-3ECM,LT 2,L2,0,22.12,00:00.0,,,,,511138,LLocke,48:50.5,Dwelch,15:26.6,From the Colorado line North of the dinosaur bone 3 miles East,,0,,,9,6,N,3,E,11,0906N03ECM,SE,0906N03ECM SE,2,116N3E9L2
2901094E-302D-E411-B3E2-00155D28EA07,,5,1,13,SNE,LT 3 SEC 9-6N-3ECM,LT 3,L3,0,21.68,00:00.0,,,,,511138,LLocke,49:40.4,Dwelch,15:42.5,From the Colorado line North of the dinosaur bone 3 miles East,,0,,,9,6,N,3,E,11,0906N03ECM,SW,0906N03ECM SW,3,116N3E9L3
DD0D972F-ED2D-E411-B3E2-00155D28EA07,,5,1,13,NW,LT 2 SEC 6-2N-1ECM,LT 2,L2,0,40.2,00:00.0,,,,,511550,LLocke,21:42.2,Dwelch,40:00.0,"From Wheeless, 5 miles West and 3 miles South to NE corner of lease",,0,,,6,2,N,1,E,11,0602N01ECM,NE,0602N01ECM NE,2,112N1E6L2
67E13C2D-1C24-E611-9757-0050568E17E9,,5,1,13,,LT 4 SEC 11-6N-3ECM,LT 4 ,L4 ,0,23.3,04:00.5,00:00.0,,,,511129,Dwelch,03:33.0,TLangley,51:18.8,,,0,,,11,6,N,3,E,11,,,,4,116N3E11L4 
7FE2DAE2-1C24-E611-9757-0050568E17E9,,5,1,13,NW,LT 4 SEC 11-6N-3ECM,LT 4 ,L4 ,0,23.3,08:57.9,00:00.0,,,,511129,Dwelch,08:37.7,TLangley,51:34.5,,,0,,,11,6,N,3,E,11,,,,4,116N3E11L4 
612CCBB5-1F2C-E611-9757-0050568E17E9,,5,1,13,,LT 1 SEC 11-6N-6ECM,LT 1 ,L1 ,0,7.46,49:18.3,00:00.0,,,,511396,Dwelch,48:59.7,TLangley,48:12.8,"From square in Boise City, 14 miles North and 6 miles Est to SW part of lease",,0,,,11,6,N,6,E,11,,,,1,116N6E11L1 
