HoldingDetailID,LocationID,TrustFundID,HoldingDetailTypeID,CountyID,SpecificLocation,LegalDescription,Interest,Acres,BeginDate,EndDate,SoldDate,Acquisition,TitleOpinion,HistoricalLeaseNumber,UserCreated,DateCreated,UserModified,DateModified,Description,OtherAgencyID,TopLeaseAcres,ApprovedforProd,GISGlobalId,Section,Township,TownshipDirection,Range,RangeDirection,Meridian,STRM,QuarterDescription,STRMQ
14AC4EB0-9296-E011-82A2-00155D28E806,8BE7E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,159-B,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,17,6,N,6,E,C,1706N06ECM,NW,1706N06ECM NW
15AC4EB0-9296-E011-82A2-00155D28E806,BBD9E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,LOT 2 A/K/A SW/4 NW/4,1,39.29,00:00.0,NULL,NULL,G,2340,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 2=SW/4 NW/4=39.29 ACRES,NULL,0,NULL,NULL,18,5,N,3,E,C,1805N03ECM,NW,1805N03ECM NW
16AC4EB0-9296-E011-82A2-00155D28E806,E1E7E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,LOT 2 A/K/A SW/4 NW/4,1,40.01,00:00.0,NULL,NULL,G,1443,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 2=SW/4 NW/4=40.01 ACRES,NULL,0,NULL,NULL,18,5,N,6,E,C,1805N06ECM,NW,1805N06ECM NW
17AC4EB0-9296-E011-82A2-00155D28E806,CAD9E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,LOT 2 A/K/A SW/4 NW/4,1,38.36,00:00.0,NULL,NULL,G,187-F,,ADMIN,29:19.8,Sfleming,02:30.9,Imported Location || LOT 2=SW/4 NW/4=38.36 ACRES,NULL,0,NULL,NULL,18,6,N,6,E,C,1806N06ECM,NW,1806N06ECM NW
18AC4EB0-9296-E011-82A2-00155D28E806,28DAE139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,LOT 2 A/K/A SW/4 NW/4,1,39.2,00:00.0,NULL,NULL,G,2339,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 2=SW/4 NW/4=39.20 ACRES,NULL,0,NULL,NULL,19,5,N,3,E,C,1905N03ECM,NW,1905N03ECM NW
19AC4EB0-9296-E011-82A2-00155D28E806,6451D821-E47B-E011-9CF3-00155D960C0A,5,4,13,SW,LOT 2 A/K/A SW/4 NW/4,1,40.03,00:00.0,NULL,NULL,G,1250-A,,ADMIN,29:19.8,ADMIN,29:19.8,"From Square in Boise City, 12 miles North and 3 miles East || LOT 2=SW/4 NW/4=40.03 ACRES",NULL,0,NULL,NULL,19,5,N,6,E,C,1905N06ECM,NW,1905N06ECM NW
1AAC4EB0-9296-E011-82A2-00155D28E806,31DAE139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,LOT 2 A/K/A SW/4 NW/4,1,38.82,00:00.0,NULL,NULL,G,187-G,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || LOT 2=SW/4 NW/4=38.82 ACRES,NULL,0,NULL,NULL,19,6,N,6,E,C,1906N06ECM,NW,1906N06ECM NW
1BAC4EB0-9296-E011-82A2-00155D28E806,93DAE139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,1558-J,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,20,5,N,3,E,C,2005N03ECM,NW,2005N03ECM NW
1CAC4EB0-9296-E011-82A2-00155D28E806,BEE8E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,2074,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,20,5,N,6,E,C,2005N06ECM,NW,2005N06ECM NW
1DAC4EB0-9296-E011-82A2-00155D28E806,C6E8E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,159-C,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,20,6,N,6,E,C,2006N06ECM,NW,2006N06ECM NW
1EAC4EB0-9296-E011-82A2-00155D28E806,1DE9E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,21,4,N,1,E,C,2104N01ECM,NW,2104N01ECM NW
1FAC4EB0-9296-E011-82A2-00155D28E806,26E9E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,1558-K,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,21,5,N,3,E,C,2105N03ECM,NW,2105N03ECM NW
20AC4EB0-9296-E011-82A2-00155D28E806,FADAE139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,250-A,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,21,5,N,6,E,C,2105N06ECM,NW,2105N06ECM NW
21AC4EB0-9296-E011-82A2-00155D28E806,7252D821-E47B-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,1330,,ADMIN,29:19.8,ADMIN,29:19.8,"From Sturgis, 1 mile West on dirt road to NE corner of lease || ",NULL,0,NULL,NULL,21,5,N,9,E,C,2105N09ECM,NW,2105N09ECM NW
22AC4EB0-9296-E011-82A2-00155D28E806,FFDAE139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,159-D,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,21,6,N,6,E,C,2106N06ECM,NW,2106N06ECM NW
23AC4EB0-9296-E011-82A2-00155D28E806,86E9E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,NONE,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,22,4,N,1,E,C,2204N01ECM,NW,2204N01ECM NW
24AC4EB0-9296-E011-82A2-00155D28E806,90E9E139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,1559-A,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,22,5,N,3,E,C,2205N03ECM,NW,2205N03ECM NW
25AC4EB0-9296-E011-82A2-00155D28E806,2251D821-E47B-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,1555-D,,ADMIN,29:19.8,ADMIN,29:19.8,"From the SE part of Keyes, 8 miles West and 3 miles North to SE corner of lease || ",NULL,0,NULL,NULL,22,5,N,6,E,C,2205N06ECM,NW,2205N06ECM NW
26AC4EB0-9296-E011-82A2-00155D28E806,CF51D821-E47B-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,8,,ADMIN,29:19.8,ADMIN,29:19.8,"From square in Boise City, 14 miles North and 6 miles East to SW part of lease || ",NULL,0,NULL,NULL,22,6,N,6,E,C,2206N06ECM,NW,2206N06ECM NW
27AC4EB0-9296-E011-82A2-00155D28E806,0050D821-E47B-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,1269,,ADMIN,29:19.8,ADMIN,29:19.8,"From Wheeless, 1 mile East and 5 miles North and West || ",NULL,0,NULL,NULL,23,4,N,1,E,C,2304N01ECM,NW,2304N01ECM NW
28AC4EB0-9296-E011-82A2-00155D28E806,BDDBE139-087C-E011-9CF3-00155D960C0A,5,4,13,SW,SW/4 NW/4,1,40,00:00.0,NULL,NULL,G,1559-B,,ADMIN,29:19.8,ADMIN,29:19.8,Imported Location || ,NULL,0,NULL,NULL,23,5,N,3,E,C,2305N03ECM,NW,2305N03ECM NW
