,state,university,acres,gis_acres,trust_name,managing_agency,county,township,range,section,aliquot,data_source,geometry
46,ND,North Dakota State University,80.0,80.25,North Dakota State University,Commissioner of University and School Lands,ADAMS,130,96,10,E2NE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-102.66329730165411 46.09722886333093, -102.66334734412338 46.10448385088013, -102.6685473271218 46.104474387306766, -102.6685285522747 46.10084373615126, -102.6685097953923 46.09721309611759, -102.66329730165411 46.09722886333093))"
47,ND,North Dakota State University,160.0,158.62,North Dakota State University,Commissioner of University and School Lands,MORTON,135,81,28,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-100.86092100451164 46.472614584789945, -100.86092101417168 46.479839490798255, -100.87132186703028 46.479877860321864, -100.87127108453952 46.472608008501005, -100.86092100451164 46.472614584789945))"
48,ND,North Dakota State University,160.0,160.22,North Dakota State University,Commissioner of University and School Lands,HETTINGER,134,96,10,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-102.71755320184013 46.42720462455484, -102.71765340419749 46.434434884168496, -102.7281286612661 46.43435538110492, -102.7280537042252 46.4271153831019, -102.71861224404869 46.42719558007445, -102.71800002621313 46.42720081429415, -102.71774802110994 46.4272029576041, -102.71755320184013 46.42720462455484))"
49,ND,North Dakota State University,160.0,160.41,North Dakota State University,Commissioner of University and School Lands,HETTINGER,134,96,12,SW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-102.69665352926084 46.43454423896119, -102.69665331542404 46.427337935336176, -102.69665331607573 46.42729448249953, -102.68615389365294 46.42733984556493, -102.68620386748209 46.43459723112464, -102.6914386899101 46.43457080219584, -102.69665352926084 46.43454423896119))"
50,ND,North Dakota State University,160.0,160.58,North Dakota State University,Commissioner of University and School Lands,HETTINGER,134,96,12,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-102.68620386748209 46.43459723112464, -102.68615389365294 46.42733984556493, -102.67587331823809 46.42738331503473, -102.67565441371138 46.42738424394709, -102.67565523511787 46.427444267259084, -102.67575411159744 46.434649257169355, -102.68620386748209 46.43459723112464))"
51,ND,North Dakota State University,80.0,80.41,North Dakota State University,Commissioner of University and School Lands,GRANT,134,88,2,W2SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-101.70128312782111 46.44437359815765, -101.70126393910807 46.44799782034179, -101.7012447718185 46.45162203584859, -101.70650743663573 46.45163958682288, -101.70653281103436 46.44439114758105, -101.70128312782111 46.44437359815765))"
52,ND,North Dakota State University,120.0,119.89,North Dakota State University,Commissioner of University and School Lands,WILLIAMS,152,103,9,"N2NW4, SW4NW4",https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-103.87803053032822 48.00740464632296, -103.88339823745348 48.00735031169567, -103.88340549479948 48.00377993682229, -103.88341284245675 48.000168703956525, -103.87803025430838 48.00013858244687, -103.8780287253758 48.00374983360435, -103.87265195549351 48.003719465691745, -103.87265624490045 48.007296295229196, -103.87549697835094 48.00743019940487, -103.87803053032822 48.00740464632296))"
53,ND,North Dakota State University,160.0,162.38,North Dakota State University,Commissioner of University and School Lands,NELSON,153,60,9,SE4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-98.36828962365921 48.08633137018778, -98.36828483548916 48.07903148208153, -98.36822832624729 48.07903183517955, -98.35748696695623 48.079097321926966, -98.35736420751968 48.07909806873399, -98.35737446598 48.0863282093626, -98.36828962365921 48.08633137018778))"
54,ND,North Dakota State University,160.0,161.36,North Dakota State University,Commissioner of University and School Lands,EDDY,149,65,20,NW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-99.01860393548301 47.71621575993072, -99.01860326570628 47.71616445734849, -99.01850987651943 47.70908142005489, -99.01850915379677 47.709025903949026, -99.00770128976775 47.70904393261616, -99.00774888247602 47.71630568088415, -99.01860393548301 47.71621575993072))"
55,ND,North Dakota State University,160.0,159.79,North Dakota State University,Commissioner of University and School Lands,WELLS,149,72,20,SW4,https://ndgishub.nd.gov/arcgis/rest/services/All_GovtLands_State/MapServer/2,"POLYGON ((-99.9192805746461 47.70980867458349, -99.91922536924984 47.70255867757143, -99.90855485481899 47.702524333756216, -99.90858020746191 47.709779387689885, -99.9192805746461 47.70980867458349))"
