,state,trust_name,managing_agency,university,gis_acres,rights_type,county,township,range,section,geometry
20,NE,University,Board of Educational Lands and Funds,University of Nebraska,157.5,surface,Holt,27,10W,04,"POLYGON ((2051086.0540430844 915108.7294461578, 2049763.9735293984 915084.2183435857, 2049747.4505987465 916390.233274743, 2049730.8758309484 917700.3275935203, 2051057.2378315777 917711.1218618304, 2052369.6868041158 917721.8026133329, 2052382.0168303251 916425.3965855688, 2052394.3091269433 915132.9843156934, 2051086.0540430844 915108.7294461578))"
21,NE,University,Board of Educational Lands and Funds,University of Nebraska,40.12,surface,Holt,28,11W,04,"POLYGON ((2017666.9904745072 946194.756979987, 2017646.736252606 947533.4362115562, 2018950.3394435048 947558.2005944252, 2018975.6543501467 946222.6253588647, 2017666.9904745072 946194.756979987))"
22,NE,University,Board of Educational Lands and Funds,University of Nebraska,643.21,surface,Holt,28,11W,08,"POLYGON ((2011175.6161955148 940820.5256596357, 2009835.7420846075 940811.4213483334, 2009817.8497343212 942134.4985790551, 2009793.5886311978 943463.3021755219, 2009769.3547590077 944790.6415362656, 2009745.1471334696 946116.5189578682, 2011075.8926549256 946121.9530013949, 2012401.224145934 946127.3653914183, 2013721.1750709862 946132.7554717958, 2015035.777910322 946138.1238986701, 2015062.6804120094 944823.0082651377, 2015089.6124411821 943506.4539863765, 2015116.5739978552 942188.4594219774, 2015123.7317909896 940875.348377347, 2013826.2972221076 940852.9222440869, 2012503.6583106667 940836.7569242269, 2011175.6161955148 940820.5256596357))"
23,NE,University,Board of Educational Lands and Funds,University of Nebraska,152.27,surface,Knox,30,04W,11,"POLYGON ((2247503.469126627 1012182.4344873428, 2246192.843969092 1012132.8348555863, 2246166.8466491997 1013453.3031679839, 2246144.0008974075 1014683.9422756433, 2247447.590964958 1014709.265384376, 2247872.3361220807 1014717.5507997721, 2248749.705313891 1014804.4256144911, 2248773.56024988 1013544.7245609313, 2248810.8029526025 1012230.7444236726, 2247503.469126627 1012182.4344873428))"
24,NE,University,Board of Educational Lands and Funds,University of Nebraska,81.42,surface,Holt,26,09W,12,"POLYGON ((2096526.9466310889 881533.6721158028, 2095187.1994884163 881505.9973060489, 2095167.9521541297 882834.0607466102, 2095148.7658433467 884157.9043799043, 2096484.3437035829 884180.0716554523, 2096505.6113747507 882858.9730950594, 2096526.9466310889 881533.6721158028))"
25,NE,University,Board of Educational Lands and Funds,University of Nebraska,477.73,surface,Holt,27,10W,12,"POLYGON ((2067313.2543429285 915328.6354732215, 2067313.2182537615 915284.207746461, 2067509.3257751465 915286.4807074815, 2067520.2397938669 915310.5587401241, 2068265.4806585312 915310.8789494187, 2068281.5701911598 914039.9249671102, 2068298.3352472633 912714.9396039695, 2068315.0442011207 911393.745899409, 2068331.6977089196 910076.3300739378, 2067012.2385807186 910054.9757887721, 2065691.4221719354 910033.6034590304, 2065671.651872903 911353.7249873877, 2065651.7933194488 912677.6191455126, 2064326.1970652342 912658.6592121869, 2062999.1874281913 912640.0050525069, 2062975.8387247175 913970.3073334247, 2062951.7915319055 915237.4361926615, 2064283.9609348327 915260.8081900626, 2064519.6914032102 915260.9646857977, 2064723.4334227592 915226.3584603816, 2064868.5820633173 915271.6182063818, 2065612.946289435 915285.8278217465, 2065625.0679827482 915286.0594485402, 2065883.9863937944 915275.8130793273, 2066056.6074167192 915296.7024704665, 2066646.8873257935 915293.4902069718, 2066771.8663899451 915322.7303020954, 2066939.543853864 915325.2050343454, 2067313.2543429285 915328.6354732215))"
26,NE,University,Board of Educational Lands and Funds,University of Nebraska,80.02,surface,Knox,30,04W,12,"POLYGON ((2250171.8620577008 1010950.4338340312, 2248848.0427025855 1010916.7596932501, 2248810.8029526025 1012230.7444236726, 2250135.0865455866 1012266.3207913637, 2251457.766467452 1012302.9880360067, 2251493.5413255244 1010985.3891400546, 2250171.8620577008 1010950.4338340312))"
27,NE,University,Board of Educational Lands and Funds,University of Nebraska,39.53,surface,Webster,02,09W,13,"POLYGON ((2120385.394435048 117842.36156117916, 2120362.166466221 119153.32037943602, 2121674.0327628404 119179.0365319252, 2121695.834881693 117864.75619846582, 2120385.394435048 117842.36156117916))"
28,NE,University,Board of Educational Lands and Funds,University of Nebraska,159.2,surface,Knox,30,04W,13,"POLYGON ((2250346.5683780164 1004342.6309975684, 2249020.109592825 1004304.6251731217, 2248989.540760383 1005614.6745444834, 2248955.016555801 1006935.2005995512, 2250275.8162323236 1006966.4620158076, 2251593.806859717 1006998.6486269534, 2251626.888482079 1005683.5116680115, 2251667.9336701334 1004381.9130660295, 2250346.5683780164 1004342.6309975684))"
29,NE,University,Board of Educational Lands and Funds,University of Nebraska,279.14,surface,Holt,27,10W,14,"MULTIPOLYGON (((2059125.2304672152 908632.6477854848, 2057798.8015376031 908619.780358851, 2057782.343239367 909935.9438904077, 2059107.2183665186 909948.0862529576, 2059125.2304672152 908632.6477854848)), ((2061827.6377614439 904698.3458088338, 2060505.9151866287 904683.5085701495, 2060486.2318296582 906007.1067971289, 2060466.489417687 907327.6791119277, 2060446.981585279 908645.440409109, 2061763.8422938287 908658.1513400078, 2061742.982102096 909972.2423694283, 2062939.4001541287 909983.208225295, 2063055.7716251016 909876.707140103, 2063076.5327356756 908670.843242079, 2063099.2003382593 907354.5248552114, 2063121.9233869016 906035.2888236344, 2061806.4068356007 906021.233079344, 2061827.6377614439 904698.3458088338)))"
