,state,university,acres,gis_acres,trust_name,managing_agency,county,township,range,section,aliquot,data_source,geometry
1526,WI,University of Wisconsin,35.64,34.69,Normal School,Board of Commissioners of Public Lands,Price,38N,02W,01,NWNE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((422579.3358611865 2547829.2812522016, 422975.85987126565 2547846.1093558255, 422996.69939203275 2547495.5429410287, 422599.2870045437 2547474.515918669, 422579.3358611865 2547829.2812522016))"
1527,WI,University of Wisconsin,40.0,39.53,Normal School,Board of Commissioners of Public Lands,Oneida,38N,10E,04,NESE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((525668.9360677252 2553971.1524564144, 525274.513312564 2553963.215740442, 525246.5199219728 2554366.698322388, 525645.5134402859 2554373.236492259, 525668.9360677252 2553971.1524564144))"
1528,WI,University of Wisconsin,40.0,40.78,Normal School,Board of Commissioners of Public Lands,Oneida,38N,04E,04,NWSW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((466151.09855093755 2550515.7322799624, 466555.63004507526 2550542.917761295, 466571.6516401347 2550136.981950405, 466165.9768114954 2550109.012069914, 466151.09855093755 2550515.7322799624))"
1529,WI,University of Wisconsin,40.0,40.41,Normal School,Board of Commissioners of Public Lands,Oneida,38N,04E,05,NWSE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((465750.03472949367 2550489.730053053, 465764.8986743794 2550082.765452964, 465364.42800101504 2550056.5542609324, 465348.97139526904 2550463.7235576925, 465750.03472949367 2550489.730053053))"
1530,WI,University of Wisconsin,40.0,39.45,Normal School,Board of Commissioners of Public Lands,Oneida,38N,10E,04,SWSW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((524486.9221724668 2553947.3425594955, 524522.7876186294 2553541.047465713, 524132.9490234672 2553531.7010733485, 524093.78364109894 2553939.424009626, 524486.9221724668 2553947.3425594955))"
1531,WI,University of Wisconsin,40.0,38.44,Normal School,Board of Commissioners of Public Lands,Oneida,38N,04E,26,SENE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((471378.46560439956 2544907.1290872246, 471410.7094857536 2544516.1895916187, 471019.0568574164 2544485.7817188646, 470982.17572523316 2544879.38225693, 471378.46560439956 2544907.1290872246))"
1532,WI,University of Wisconsin,39.73,40.41,Normal School,Board of Commissioners of Public Lands,Oneida,38N,04E,30,SWNW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((463774.17461017286 2544308.229518044, 463809.78196293674 2543901.0677633, 463410.234478181 2543874.1326722433, 463371.63089998363 2544277.1258476977, 463774.17461017286 2544308.229518044))"
1533,WI,University of Wisconsin,40.0,39.73,Normal School,Board of Commissioners of Public Lands,Oneida,36N,04E,03,SENE,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((470680.86119792424 2531628.404505327, 470705.3550646337 2531227.8747471645, 470304.03930977196 2531203.2408316107, 470280.33863917255 2531601.780000089, 470680.86119792424 2531628.404505327))"
1534,WI,University of Wisconsin,40.0,37.96,Normal School,Board of Commissioners of Public Lands,Price,36N,03E,05,SENW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((456721.2691500983 2530597.6889427104, 457116.3780415396 2530616.9662848464, 457126.40894264483 2530226.6412560204, 456730.5594678544 2530212.026141088, 456721.2691500983 2530597.6889427104))"
1535,WI,University of Wisconsin,40.0,39.48,Normal School,Board of Commissioners of Public Lands,Oneida,36N,06E,04,NWSW,https://bcpl.wisconsin.gov/bcpl.wisconsin.gov%20Shared%20Documents/Maps/BCPLPropertyBoundariesShapefile.zip,"POLYGON ((487098.7721151587 2532409.9120583553, 487112.78059683 2532068.102301439, 487113.44191469107 2532013.1644126936, 486710.0791149903 2531977.18927577, 486703.1123006292 2532376.9625417762, 487098.7721151587 2532409.9120583553))"
