,state,state_enabling_act,trust_name,managing_agency,university,acres,gis_acres,rights_type,meridian,township,range,aliquot,geometry
3835,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.88,subsurface,5,128N,68W,NESW,"POLYGON ((-11021131.9966 5762065.362499997, -11021707.0185 5762066.151100002, -11021707.0182 5762645.381300002, -11021132.0026 5762644.561499998, -11021131.9966 5762065.362499997))"
3836,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.89,subsurface,5,128N,68W,SESW,"POLYGON ((-11021131.9908 5761486.205700003, -11021707.0157 5761486.936399996, -11021707.0185 5762066.151100002, -11021131.9966 5762065.362499997, -11021131.9908 5761486.205700003))"
3837,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,128N,68W,NWNE,"POLYGON ((-11020556.9989 5763222.8288, -11021132.0115 5763223.7228000015, -11021132.0174 5763802.921999998, -11020557.011 5763801.974600002, -11020556.9989 5763222.8288))"
3838,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,128N,68W,SWNE,"POLYGON ((-11020556.9899 5762643.703100003, -11021132.0026 5762644.561499998, -11021132.0115 5763223.7228000015, -11020556.9989 5763222.8288, -11020556.9899 5762643.703100003))"
3839,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.88,subsurface,5,128N,68W,NWSE,"POLYGON ((-11020556.9777 5762064.579800002, -11021131.9966 5762065.362499997, -11021132.0026 5762644.561499998, -11020556.9899 5762643.703100003, -11020556.9777 5762064.579800002))"
3840,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.88,subsurface,5,128N,68W,SWSE,"POLYGON ((-11020556.9657 5761485.471900001, -11021131.9908 5761486.205700003, -11021131.9966 5762065.362499997, -11020556.9777 5762064.579800002, -11020556.9657 5761485.471900001))"
3841,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,24.69,39.92,subsurface,5,113N,8W,SWNE,"POLYGON ((-11186852.9215 5552173.492600001, -11186856.9592 5551605.769100003, -11187417.9139 5551610.297200002, -11187413.8918 5552177.087899998, -11186852.9215 5552173.492600001))"
3842,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,4.37,40.12,subsurface,5,113N,8W,NWSE,"POLYGON ((-11186856.9592 5551605.769100003, -11186860.1092 5551036.996100001, -11187421.9607 5551039.857500002, -11187417.9139 5551610.297200002, -11186856.9592 5551605.769100003))"
3843,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,23.35,40.21,subsurface,5,113N,8W,NWNW,"POLYGON ((-11185730.013 5552168.3544000015, -11186291.9512 5552169.862300001, -11186287.892 5552738.558399998, -11185724.4447 5552738.938199997, -11185730.013 5552168.3544000015))"
3844,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,125N,56W,NENE,"POLYGON ((-10854177.128 5725454.212300003, -10854750.7098 5725454.659199998, -10854751.3843 5726030.416199997, -10854177.7653 5726030.0446000025, -10854177.128 5725454.212300003))"
3845,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.88,subsurface,5,125N,56W,SENE,"POLYGON ((-10854176.4906 5724878.417300001, -10854750.0353 5724878.921700001, -10854750.7098 5725454.659199998, -10854177.128 5725454.212300003, -10854176.4906 5724878.417300001))"
3846,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.88,subsurface,5,125N,56W,NESE,"POLYGON ((-10854175.8531 5724302.663999997, -10854749.3608 5724303.185800001, -10854750.0353 5724878.921700001, -10854176.4906 5724878.417300001, -10854175.8531 5724302.663999997))"
3847,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.88,subsurface,5,125N,56W,SESE,"POLYGON ((-10854175.2127 5723726.9432, -10854748.6864 5723727.465000004, -10854749.3608 5724303.185800001, -10854175.8531 5724302.663999997, -10854175.2127 5723726.9432))"
3848,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,125N,56W,NENW,"POLYGON ((-10855324.2917 5725455.070600003, -10855897.8705 5725455.4777000025, -10855898.6192 5726031.155299999, -10855325.0002 5726030.7880000025, -10855324.2917 5725455.070600003))"
3849,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,125N,56W,SENW,"POLYGON ((-10855323.5801 5724879.386200003, -10855897.125 5724879.819700003, -10855897.8705 5725455.4777000025, -10855324.2917 5725455.070600003, -10855323.5801 5724879.386200003))"
3850,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,125N,56W,NESW,"POLYGON ((-10855322.8685 5724303.672499999, -10855896.3762 5724304.159000002, -10855897.125 5724879.819700003, -10855323.5801 5724879.386200003, -10855322.8685 5724303.672499999))"
3851,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,125N,56W,SESW,"POLYGON ((-10855322.1569 5723727.991400003, -10855895.6275 5723728.517700002, -10855896.3762 5724304.159000002, -10855322.8685 5724303.672499999, -10855322.1569 5723727.991400003))"
3852,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,125N,56W,NWNE,"POLYGON ((-10854750.7098 5725454.659199998, -10855324.2917 5725455.070600003, -10855325.0002 5726030.7880000025, -10854751.3843 5726030.416199997, -10854750.7098 5725454.659199998))"
3853,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,125N,56W,SWNE,"POLYGON ((-10854750.0353 5724878.921700001, -10855323.5801 5724879.386200003, -10855324.2917 5725455.070600003, -10854750.7098 5725454.659199998, -10854750.0353 5724878.921700001))"
3854,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,125N,56W,NWSE,"POLYGON ((-10854749.3608 5724303.185800001, -10855322.8685 5724303.672499999, -10855323.5801 5724879.386200003, -10854750.0353 5724878.921700001, -10854749.3608 5724303.185800001))"
3855,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.88,subsurface,5,125N,56W,SWSE,"POLYGON ((-10854748.6864 5723727.465000004, -10855322.1569 5723727.991400003, -10855322.8685 5724303.672499999, -10854749.3608 5724303.185800001, -10854748.6864 5723727.465000004))"
3856,SD,"25 Stat. 676-684, esp. 679-81 (1889)",South Dakota State University,Commissioner of School and Public Lands,South Dakota State University,40.0,39.87,subsurface,5,125N,56W,NWNW,"POLYGON ((-10855897.8705 5725455.4777000025, -10856471.4524 5725455.849200003, -10856472.2382 5726031.526900001, -10855898.6192 5726031.155299999, -10855897.8705 5725455.4777000025))"
