HoldingDetailID,LeaseType,LegalDescription,GISGlobalId,ApprovedforProd,CountyName,Acres,MineralsLeaseID,AuctionUnitID,LeaseNumber,MineralsAuctionDate,MineralsAwardDate,GrossAcres,NetAcres,TractNumber,MineralsAuctionID,TrustName,LocationDescription,Township,TownshipDirection,Range,RangeDirection,Section,QuarterDescription,Meridian,STRM,HoldingDetailTypeID
65D985EA-C67F-ED11-A38A-005056B5157A,Long-term Commercial,"NE/4, 13-27N-1EIM",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,1,E,13,NE,I,13-27N-01EIM,2
78B7ABE5-C77F-ED11-A38A-005056B5157A,Long-term Commercial,"NW/4, 13-27N-1EIM; less a 1.00 acre short term commercial lease",NULL,NULL,KAY,0,NULL,C7F51F10-CA7F-ED11-A38A-005056B5157A,209555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,1,E,13,NW,I,13-27N-01EIM,2
78B7ABE5-C77F-ED11-A38A-005056B5157A,Long-term Commercial,"NW/4, 13-27N-1EIM; less a 1.00 acre short term commercial lease",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,1,E,13,NW,I,13-27N-01EIM,2
7038524D-C87F-ED11-A38A-005056B5157A,Long-term Commercial,"SW/4, 13-27N-1EIM; less the area described as:  beginning at the SW/C of said SW 1/4 which is the POB; thence N 264’; thence E 165’; thence S 264’; thence W 165’ to the POB, containing 1.00 Acres; less a 2.10 acre easement",NULL,NULL,KAY,0,NULL,C7F51F10-CA7F-ED11-A38A-005056B5157A,209555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,1,E,13,SW,I,13-27N-01EIM,2
7038524D-C87F-ED11-A38A-005056B5157A,Long-term Commercial,"SW/4, 13-27N-1EIM; less the area described as:  beginning at the SW/C of said SW 1/4 which is the POB; thence N 264’; thence E 165’; thence S 264’; thence W 165’ to the POB, containing 1.00 Acres; less a 2.10 acre easement",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,1,E,13,SW,I,13-27N-01EIM,2
B5DFCDCB-C87F-ED11-A38A-005056B5157A,Long-term Commercial,"SE/4, 13-27N-1EIM; less a 2.22 acre easement",NULL,NULL,KAY,0,NULL,C7F51F10-CA7F-ED11-A38A-005056B5157A,209555,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,1,E,13,SE,I,13-27N-01EIM,2
B5DFCDCB-C87F-ED11-A38A-005056B5157A,Long-term Commercial,"SE/4, 13-27N-1EIM; less a 2.22 acre easement",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27,N,1,E,13,SE,I,13-27N-01EIM,2
4032C57A-CA7F-ED11-A38A-005056B5157A,Long-term Commercial,"NE/4, 33-29N-1WIM",NULL,NULL,KAY,0,NULL,A5031E35-CC7F-ED11-A38A-005056B5157A,819556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,N,1,W,33,NE,I,33-29N-01WIM,2
4032C57A-CA7F-ED11-A38A-005056B5157A,Long-term Commercial,"NE/4, 33-29N-1WIM",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,N,1,W,33,NE,I,33-29N-01WIM,2
CC6B2FDB-CA7F-ED11-A38A-005056B5157A,Long-term Commercial,"NW/4, 33-29N-1WIM",NULL,NULL,KAY,0,NULL,A5031E35-CC7F-ED11-A38A-005056B5157A,819556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,N,1,W,33,NW,I,33-29N-01WIM,2
CC6B2FDB-CA7F-ED11-A38A-005056B5157A,Long-term Commercial,"NW/4, 33-29N-1WIM",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,N,1,W,33,NW,I,33-29N-01WIM,2
DC7BE840-CB7F-ED11-A38A-005056B5157A,Long-term Commercial,"SW/4, 33-29N-1WIM",NULL,NULL,KAY,0,NULL,A5031E35-CC7F-ED11-A38A-005056B5157A,819556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,N,1,W,33,SW,I,33-29N-01WIM,2
DC7BE840-CB7F-ED11-A38A-005056B5157A,Long-term Commercial,"SW/4, 33-29N-1WIM",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,N,1,W,33,SW,I,33-29N-01WIM,2
568A61A4-CB7F-ED11-A38A-005056B5157A,Long-term Commercial,"SE/4, 33-29N-1WIM",NULL,NULL,KAY,0,NULL,A5031E35-CC7F-ED11-A38A-005056B5157A,819556,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,N,1,W,33,SE,I,33-29N-01WIM,2
568A61A4-CB7F-ED11-A38A-005056B5157A,Long-term Commercial,"SE/4, 33-29N-1WIM",NULL,NULL,KAY,0,NULL,A900EC08-CD7F-ED11-A38A-005056B5157A,109557,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29,N,1,W,33,SE,I,33-29N-01WIM,2
1D83B7E4-6680-ED11-A38A-005056B5157A,Long-term Commercial,A parcel of land located in the SW/4 of Section 16-02N-14ECM more particularly described as commencing at the SW corner of the section thence North along the west Section line to the NW corner of the SW/4 SW/4 thence East 1560’ thence S to the W line of the right of way of the CRI&P railroad thence South and West along said railroad right of way to a point on the South section line thence W to POB containing 40.00 acres ,NULL,NULL,TEXAS,40,NULL,22858DAB-6780-ED11-A38A-005056B5157A,109558,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,N,14,E,16,sw,C,16-02N-14ECM,2
24EB72A9-DDAE-ED11-A390-005056B5157A,Long-term Commercial,SECTION 15-12N-03WIM,NULL,NULL,OKLAHOMA,0,NULL,48961326-DEAE-ED11-A390-005056B5157A,109560,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,N,3,W,15,ne ne nw,I,15-12N-03WIM,2
0A83084E-E952-4C05-AF9A-C75AD414C8A8,Long-term Commercial,5 SITES IN THE N/2 SEC 13-7N-17WIM,{A9A220E6-35AB-4099-A6A9-C72365977B79},00:00.0,KIOWA,10,NULL,D76F50F3-6B68-E111-AC17-00155D28E806,209257,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,N,17,W,13,N2,I,13-07N-17WIM,2
